,d,data,m,m_1,m_x
10,12,"[0.53550086665146002, 0.019917689175014103, 0.70896392164055899, 0.19338074416411333, 1.487112757626975e-15, 8.1822804317233722e-16, 0.70896392164055899, 0.19338074416411333, 0.023413672449383915, 0.77335335239910241, 0.098686609676843812, 0.70919825496653]",2,2,10000
11,22,"[0.09309249687765965, 0.0031008091661449215, 0.37783191340333072, 0.28784022569181589, 1.586640449869579e-15, 1.20577751721492e-15, 0.37783191340333072, 0.28784022569181589, 0.0031138875241153116, 0.38741013990480255, 0.053640518360874745, 0.33856693172886176]",2,2,10000
12,4,"[0.16711621973449239, 0.028583991291746987, 0.73323033751667877, 0.55026082799676401, 0.016349256184601781, 0.012178242291228932, 0.73323033751667877, 0.55026082799676401, 0.028695728904466273, 1.1235818966778686, 0.016435928346842196, 1.1338271356919767]",4,2,10000
13,14,"[0.96810374295141255, 0.0022609844429338295, 0.61233918277077071, 0.5860561695618749, 0.1752098305221749, 0.00023383346739940737, 0.61233918277077071, 0.5860561695618749, 0.002294496445270348, 1.2754647762286029, 0.46914840839832517, 1.1005684668762754]",4,2,10000
14,24,"[0.96295044594290002, 0.019690179150672643, 0.82312404734048439, 0.22455897675510225, 0.19893988944077995, 0.01773449483521046, 0.82312404734048439, 0.22455897675510225, 0.023678333555672646, 1.1010162402128758, 0.32587105855887916, 0.89724550250264901]",4,2,10000
15,8,"[0.96851863418184259, 0.0080443307121151018, 0.63497558729398584, 0.019082186238834214, 0.25094724220455505, 0.0065330822355339916, 0.63497558729398584, 0.019082186238834214, 0.022796780166783416, 1.1307052203896131, 0.01660948734106641, 1.1337647061729206]",8,2,10000
16,18,"[0.99945741265720234, 0.014220681360986214, 0.61713639012842236, 0.51845658780541104, 0.40704163720238085, 0.010844487389154507, 0.61713639012842236, 0.51845658780541104, 0.030630116767176238, 1.212837529266227, 0.025395852735049542, 1.2163638055194743]",8,2,10000
17,28,"[0.9625275333996165, 0.0059456847511344651, 0.75946752596749867, 0.019714174150610816, 0.27742326549584301, 0.0056736079886249057, 0.75946752596749867, 0.019714174150610816, 0.037583496140006237, 1.0135085160338142, 0.036032113604068161, 1.0154361511462566]",8,2,10000
18,4,"[0.20214744535291401, 0.028982160039579197, 0.86182543710123316, 0.46149629498247902, 0.033583810857001316, 0.0029415101508287306, 0.86182543710123316, 0.46149629498247902, 0.029095516151835504, 0.84172036992522914, 0.026295007477759782, 0.83735058898582104]",4,4,10000
19,14,"[0.83764184371725714, 0.051492363849006399, 0.86712959028625336, 0.4491130880309791, 0.038790561581924406, 0.0064784121860399302, 0.86712959028625336, 0.4491130880309791, 0.051535760596795537, 0.96291298409999038, 0.41348190276769087, 0.68946097253612093]",4,4,10000
20,24,"[0.50663521942207035, 0.018242491052585422, 0.82629688825650605, 0.45498331199515635, 0.029020287952025357, 0.0037932264488257281, 0.82629688825650605, 0.45498331199515635, 0.019977859046693282, 0.67228302328080958, 0.59785873484296881, 1.0486153581939848]",4,4,10000
21,8,"[0.99505417551127429, 0.019317792482882935, 0.86393361588735218, 0.60657229196151352, 0.19022951496837187, 0.016095915071304711, 0.86393361588735218, 0.60657229196151352, 0.020249791513548211, 0.97222263124398267, 0.019772994093282512, 0.97139655029229033]",8,4,10000
22,18,"[0.9987532056206927, 0.023542687041025006, 0.89623882959917833, 0.61157823608772022, 0.1994121202290578, 0.022607308552128284, 0.89623882959917833, 0.61157823608772022, 0.023586572370686239, 1.256308988151742, 0.023731455332079536, 1.2561481341019662]",8,4,10000
23,28,"[0.99779613858066252, 0.016095795484586502, 0.76295927471920821, 0.57321140928962866, 0.066365648192383289, 0.012667025902949002, 0.76295927471920821, 0.57321140928962866, 0.044440244080825607, 0.85581245021708285, 0.04523999297210797, 0.85431303962025262]",8,4,10000
24,16,"[0.94432504612705792, 0.0061174635261040979, 0.82337975434663357, 0.53491300527629182, 0.41104293743537257, 0.0056151244350311526, 0.82337975434663357, 0.53491300527629182, 0.029811294025603851, 1.1895792626046766, 0.025734971939922149, 1.1906062311431966]",16,4,10000
25,26,"[0.99996476957830505, 0.015114831140797189, 0.87431972084621046, 0.63504420899703817, 0.1257763240285201, 0.014299969384688589, 0.87431972084621046, 0.63504420899703817, 0.025607116521442146, 1.2289709039914272, 0.039836535230706224, 1.2489545709174672]",16,4,10000
26,36,"[0.99793707003345333, 0.023195617517915049, 0.92921717081341126, 0.21129984881832137, 0.98812635974102292, 0.015468734962811467, 0.92921717081341126, 0.21129984881832137, 0.023839050170469833, 1.2407210224670422, 0.023633688390448351, 1.2450699081665666]",16,4,10000
27,8,"[0.96399296766817222, 0.027063909251544553, 0.93198986711597342, 0.5383752055977723, 0.12047878165933319, 0.019374938101794123, 0.93198986711597342, 0.5383752055977723, 0.027141388533917826, 1.082634641710188, 0.13070400876841215, 1.0977372887987895]",8,8,10000
28,18,"[0.99302746567733036, 0.02308764684354557, 0.8887035478273787, 0.58258675528640469, 0.16842267748475406, 0.010556786929164542, 0.8887035478273787, 0.58258675528640469, 0.026237448448027955, 1.1845782233304603, 0.022776533911521214, 1.194522186322847]",8,8,10000
29,28,"[0.92452078004876093, 0.0167532186985139, 0.89011337750049679, 0.60802633478731738, 0.24609964944415769, 0.012069230369272146, 0.89011337750049679, 0.60802633478731738, 0.016908301329115406, 1.0363999162937001, 0.015294033252448894, 1.0330951218325108]",8,8,10000
30,16,"[0.99703201766313665, 0.018772160144553671, 0.87215531007820524, 0.72301165540974932, 0.52528541920933214, 0.017549369625781148, 0.87215531007820524, 0.72301165540974932, 0.018824844140508574, 1.1359971863838116, 0.018009064523890249, 1.1352728617100318]",16,8,10000
31,26,"[0.99825890196440337, 0.018751944072466865, 0.9251530811937938, 0.75645404759317547, 0.51822109893042045, 0.018249183089686358, 0.9251530811937938, 0.75645404759317547, 0.018812005412060063, 1.1681067561228249, 0.023233813882831082, 1.1682303922016257]",16,8,10000
32,36,"[0.95165378157440128, 0.022022748997844364, 0.89742434589004749, 0.74329266435602259, 0.45426273911381532, 0.018854026730151317, 0.89742434589004749, 0.74329266435602259, 0.022121867396080949, 1.2342016583173008, 0.019050541945961948, 1.2358864150232707]",16,8,10000
33,32,"[0.99047480636534302, 0.014826773315997636, 0.94222329771118007, 0.72506657477887326, 0.92090681629653359, 0.013864286888785795, 0.94222329771118007, 0.72506657477887326, 0.026233556305366387, 1.2988163685622438, 0.053778200661011404, 1.3140300200822688]",32,8,10000
34,42,"[0.99956737286412134, 0.025583023616225217, 0.89311591792287082, 0.77046274543597204, 0.38059202265024905, 0.023448388774636134, 0.89311591792287082, 0.77046274543597204, 0.025861606295075629, 1.1256820529024307, 0.24166300898952725, 1.1984721186832359]",32,8,10000
35,52,"[0.9870036735090465, 0.022090212566300314, 0.87669184081991791, 0.7516581940037782, 0.67522781599979642, 0.020482170556877708, 0.87669184081991791, 0.7516581940037782, 0.08520606659775587, 1.2780432872306036, 0.12122213776582402, 1.2617549322121928]",32,8,10000
36,16,"[0.76679725536541898, 0.018291149734865189, 0.92885543786233593, 0.75075349422521054, 0.10777971569204634, 0.016569333070790428, 0.92885543786233593, 0.75075349422521054, 0.018304261515371689, 1.2630350348347672, 0.14552777763747288, 1.2749455809016275]",16,16,10000
37,26,"[0.9970094942140828, 0.021289359110352468, 0.90991368308955933, 0.77885035363133703, 0.27025982336840615, 0.018130294488269701, 0.90991368308955933, 0.77885035363133703, 0.022243578563620536, 1.2463200106875747, 0.15618337774114122, 1.2209702504970676]",16,16,10000
38,36,"[0.98459155408214705, 0.020058048853551148, 0.96815157545507791, 0.64181269366883498, 0.37460528858796482, 0.017077911997572609, 0.96815157545507791, 0.64181269366883498, 0.020094273015679159, 1.2425426992655346, 0.19483487586366899, 1.1770468855345197]",16,16,10000
39,32,"[0.99717240145927821, 0.025692229421451634, 0.94855454755483881, 0.86384796649113127, 0.5245171789230435, 0.024656717398700439, 0.94855454755483881, 0.86384796649113127, 0.052689609545307395, 1.2626589891346272, 0.24009239123297768, 1.1918987448402376]",32,16,10000
40,42,"[0.95577428009864029, 0.027873101038340672, 0.93934695286417502, 0.8277065113128278, 0.51357073306859446, 0.025537204344575282, 0.93934695286417502, 0.8277065113128278, 0.031672701509503777, 1.2840258870119461, 0.099804493621322779, 1.2685440851963248]",32,16,10000
41,52,"[0.99959898956934334, 0.020046654251146965, 0.94921452300398268, 0.83543339383044835, 0.61302641456666718, 0.018510011170408434, 0.94921452300398268, 0.83543339383044835, 0.020057536809101752, 1.3405030027634504, 0.018544106394936016, 1.3411577791343328]",32,16,10000
42,64,"[0.99914412249767703, 0.021397939854766485, 0.92091873125450541, 0.73890958285476671, 0.86058097943776646, 0.020169326246200603, 0.92091873125450541, 0.73890958285476671, 0.021994250477047679, 1.3384843480451787, 0.16211570050375612, 1.3009904551507474]",64,16,10000
43,74,"[0.99888781921553182, 0.021915081307416998, 0.91259226227779899, 0.84337261423744458, 0.79488246646217808, 0.019925801205539172, 0.91259226227779899, 0.84337261423744458, 0.02447562685466757, 1.3660022176221578, 0.11183802229432581, 1.3303916998226359]",64,16,10000
44,84,"[0.9639357153172019, 0.019127132343450544, 0.9001905989854041, 0.79889657854648521, 0.6778276894045614, 0.016989808420722893, 0.9001905989854041, 0.79889657854648521, 0.021564863690470466, 1.3513688875515784, 0.18252191480614702, 1.3117993373977623]",64,16,10000
