,d,error_A_m,error_A_m_1,error_V_m,error_V_m_1,m,m_1,m_x,max_dist_A_m,max_dist_A_m_1,max_dist_V_m,max_dist_V_m_1,min_dist_A_m,min_dist_A_m_1,min_dist_V_m,min_dist_V_m_1
27,8,0.2909999712509998,0.029154446465434133,0.836198942066222,1.0749706723567969,8,8,10000,0.9346039956635662,0.17387560031517013,0.6572699544298422,0.6572699544298422,0.22200838193158026,0.028183097399042723,0.294726651316108,0.294726651316108
28,18,0.5553938649914162,0.08212899905079972,0.6956290324195331,1.080968889866088,8,8,10000,0.849299939146218,0.19993178572755643,0.6395990976036675,0.6395990976036675,0.3844114744458398,0.045249084712448824,0.4878325440364756,0.4878325440364756
29,28,0.37583835538983945,0.21909526471715207,0.7257922899409401,0.7992772992603606,8,8,10000,0.9184632903031543,0.17937098479061067,0.780192653853724,0.780192653853724,0.328645881117567,0.047596637414939975,0.26200011579367216,0.26200011579367216
30,16,0.32419711787805655,0.11336990049154251,0.9761649696810838,1.177450604165287,16,8,10000,0.9598712952181317,0.4664572633002997,0.4522775467405227,0.4522775467405227,0.21603849380371556,0.09605849943286662,0.2025049440411734,0.2025049440411734
31,26,0.1665104539958236,0.09703036081695562,1.2742647967247875,1.296464538999833,16,8,10000,0.9656508037021134,0.4178722417712482,0.42646990105583815,0.42646990105583815,0.16533335108683092,0.08834612347798855,0.2775566792417265,0.2775566792417265
32,36,0.34116390815543235,0.5289644528394885,0.6159937314173405,0.4234552090225303,16,8,10000,0.9522408129098048,0.5618059546582506,0.42156363754094117,0.42156363754094117,0.14203494999155922,0.08861171582449094,0.13896719826907922,0.13896719826907922
33,32,1.244632143012032,1.3236187618827226,0.2913321086798312,0.12556970953159782,32,8,10000,0.9983826843322617,0.9929496829307899,0.2872622604642029,0.2872622604642029,0.1352543251496125,0.08438715123689888,0.16959052351642936,0.16959052351642936
34,42,0.1353329255221345,0.1289081331978229,1.213652475873539,1.1818910036373798,32,8,10000,0.9904105864971088,0.9086614882896918,0.305924255599481,0.305924255599481,0.13442525967689678,0.08109294211558518,0.1409096675908488,0.1409096675908488
35,52,0.18284061204242252,0.08592040233642546,1.217070691417157,1.2498101144904152,32,8,10000,0.9585486977972593,0.739821014835591,0.292271236412862,0.292271236412862,0.1274834760641147,0.07886918601985375,0.19765428503411617,0.19765428503411617
36,16,0.33744990126807506,0.03909323079878592,0.9193326490112649,1.1186033708129088,16,16,10000,0.9844943011177993,0.19667086859401875,0.6528817274053229,0.6528817274053229,0.3128253812882992,0.03488231452374541,0.3446873571264051,0.3446873571264051
37,26,0.49324359263413653,0.043319838801098534,1.1026911380529805,1.1789742044887164,16,16,10000,0.9731263006845758,0.20024622422775729,0.6888670850049209,0.6888670850049209,0.3502992816739002,0.0403877535316928,0.40354530114856874,0.40354530114856874
38,36,0.28605503684293593,0.035597938319403256,0.8310566283753275,1.048081166265277,16,16,10000,0.9630316683347883,0.1698198251370939,0.6108839620002238,0.6108839620002238,0.23767465190374906,0.03305243832916613,0.33497746782444965,0.33497746782444965
39,32,1.1355228745373496,0.07546917426815129,0.3685881530128642,1.1526485411315006,32,16,10000,0.9888599659289294,0.33541828399869933,0.4378794434442395,0.4378794434442395,0.18344391106389074,0.062365601741437335,0.20729847607934268,0.20729847607934268
40,42,0.2045169990639155,0.06049487895790313,1.2216797876279404,1.2517866137859788,32,16,10000,0.9932798871714201,0.4221983000039085,0.41679946061942497,0.41679946061942497,0.17587696634748556,0.05877274528275166,0.2586485636330871,0.2586485636330871
41,52,0.21166128363106917,0.0708855627348368,1.2600322819974334,1.2946400022686704,32,16,10000,0.9763616818193793,0.4025911605210573,0.48448678842055337,0.48448678842055337,0.20985125556132664,0.06751545117415073,0.27758098370459916,0.27758098370459916
42,64,1.1544120486316314,1.2636490996680285,0.29037751662450656,0.07722857271652082,64,16,10000,0.9967765083046972,0.9309052292511426,0.299763146200076,0.299763146200076,0.13109107611520224,0.05152268859953278,0.1997203094357944,0.1997203094357944
43,74,1.3306972431067905,1.315063550331981,0.16364792742087528,0.06257136833799874,64,16,10000,0.9965103600622034,0.9692549400968976,0.21912846366537292,0.21912846366537292,0.09868436350314425,0.04744184488004714,0.13133609937102206,0.13133609937102206
44,84,1.2855319428517566,1.3220772436411492,0.20077947173861754,0.07413605243584521,64,16,10000,0.998206285532228,0.8176955666032903,0.2762930527705657,0.2762930527705657,0.09730068607741701,0.052600702526632376,0.17946465381029786,0.17946465381029786
