,d,error_A_m,error_A_m_1,error_V_m,error_V_m_1,m,m_1,m_x,max_dist_A_m,max_dist_A_m_1,max_dist_V_m,max_dist_V_m_1,min_dist_A_m,min_dist_A_m_1,min_dist_V_m,min_dist_V_m_1
12,32,1.2297399674695753,1.190550180740481,0.1839123248655285,0.23752331096361223,30,1,8000,0.9999974815288986,0.9999839191153632,0.00016101372602383618,0.00016101372602383618,0.0004978326996875898,0.00038561850340123254,0.00016101372602383618,0.00016101372602383618
13,34,1.1416387448111462,1.1416387838959585,0.00017519039763052842,0.0001597327936059427,30,1,8000,0.9999752932485975,0.009395655608267748,0.00014881297513672832,0.00014881297513672832,0.00014898800168884494,0.00012630204185882577,0.00014881297513672832,0.00014881297513672832
14,36,1.2752815270841826,1.2620976178807777,0.0001758901212654138,0.02890582906995432,30,1,8000,0.9999800686490008,0.9293704606927676,0.0001641271688252498,0.0001641271688252498,0.00021565635122337297,0.0001890211125937754,0.0001641271688252498,0.0001641271688252498
15,38,0.00033819524519203753,0.00032580564950435875,1.348914628929865,1.3489146270775922,30,1,8000,0.999890381892046,0.0015167155349659104,0.00022086377498674239,0.00022086377498674239,0.0002648424411143147,0.00012425267582260948,0.00022086377498674239,0.00022086377498674239
16,40,0.00046975131426684955,0.0004688199566092353,1.2348270851370395,1.2348272016288235,30,1,8000,0.9999976973501551,0.0036873627798299116,0.001354180318872915,0.001354180318872915,0.00013684766055999776,0.00010953280027029759,0.001354180318872915,0.001354180318872915
17,42,1.3072166524871736,1.3072167129384056,0.0001120028060728318,0.00010858677114197765,30,1,8000,0.7656779670256988,0.009938976124577193,0.00010584685447996549,0.00010584685447996549,0.000228747671693111,0.0002281166063940643,0.00010584685447996549,0.00010584685447996549
18,44,1.322552588205736,1.3073021455676725,0.0001515840038589339,0.19413624343391667,30,1,8000,0.9999997739563451,0.9999848262175133,0.0001400321019073219,0.0001400321019073219,0.0002834014205555107,0.00013727713705753906,0.0001400321019073219,0.0001400321019073219
19,46,0.0009692949320745522,0.00019515913257283756,1.2667997190944407,1.2668001721577957,30,1,8000,0.9996048191816784,0.005488283176281803,0.00011512395092553703,0.00011512395092553703,0.0002784291953833836,0.00017087784877452966,0.00011512395092553703,0.00011512395092553703
20,48,1.239154238657526,1.099795431304287,0.00012857801607085657,0.25294049629126947,30,1,8000,0.9999737490015682,0.9999696715762856,0.00011327986627503457,0.00011327986627503457,0.00032471347989844473,0.00025179070980079843,0.00011327986627503457,0.00011327986627503457
21,50,0.00028573301600290905,0.00028523845083452373,1.1771336740089888,1.1771336860709969,30,1,8000,0.9998902991331857,0.002408509074321543,0.0002249573961576369,0.0002249573961576369,0.00012836916135520646,0.00012390591944993297,0.0002249573961576369,0.0002249573961576369
22,40,0.0004570833785279015,0.0003170858458769998,1.3377504837160283,1.3377514239143315,40,1,8000,0.9999449117436392,0.0012201809953476333,0.003037619301162557,0.003037619301162557,0.0001569423600676452,0.00011987090106071351,0.003037619301162557,0.003037619301162557
23,42,0.0004234968102036086,0.0003954082115180436,1.2536732804845756,1.253673786570437,40,1,8000,0.9999836315836971,0.002321137534107479,0.0026674166575154463,0.0026674166575154463,0.00012805696839345764,0.00010159488505891197,0.0026674166575154463,0.0026674166575154463
24,44,0.0002904907928248596,0.0002656665788409774,1.3366620053385028,1.336661940173111,40,1,8000,0.9999803607017272,0.005824652512095112,0.00025751484423244467,0.00025751484423244467,0.00019729975284459684,0.00018739323896849224,0.00025751484423244467,0.00025751484423244467
25,46,0.00037583544574965467,0.00037345469935456493,1.281198559472706,1.2811986124893686,40,1,8000,0.999837230853224,0.002405707452018033,0.0009700403993082587,0.0009700403993082587,0.0001595440367355182,9.583951656507074e-05,0.0009700403993082587,0.0009700403993082587
26,48,1.323619449042784,1.3236193029518621,0.0001292908837790933,0.00010656682389722866,40,1,8000,0.999990145405016,0.02236538482265123,0.00012602353982075695,0.00012602353982075695,0.00026789196649465154,0.000216945542026076,0.00012602353982075695,0.00012602353982075695
27,50,1.2528749455768173,1.252874953683116,0.00011531948795464678,0.00010894805206189878,40,1,8000,0.999919657618261,0.009729069212993205,0.00011044942931226628,0.00011044942931226628,0.0003169545218873918,0.000312843478331261,0.00011044942931226628,0.00011044942931226628
28,52,0.0005996509416110803,0.00041818916328270644,1.307182157382054,1.3071819621232217,40,1,8000,0.996562590577323,0.003757606404661525,0.0003690911778161276,0.0003690911778161276,0.00016038610391327026,0.0001418845048007784,0.0003690911778161276,0.0003690911778161276
29,54,1.3360031392348863,1.3360031473168434,0.00010822770807516941,0.00010763620311747148,40,1,8000,0.9997096685187167,0.013369576442140927,0.0001027784241693278,0.0001027784241693278,0.00019756786213065512,0.00016528322741398395,0.0001027784241693278,0.0001027784241693278
30,56,1.2725669967271844,1.2777859532110487,0.1498078732570297,0.14578122133277002,40,1,8000,0.9999971755682407,0.9999939781038616,9.867890656866883e-05,9.867890656866883e-05,0.0003704793600211778,0.0003197675630314097,9.867890656866883e-05,9.867890656866883e-05
31,58,0.00011951772488961715,0.00011377146844947247,1.3662478867597136,1.3662470656099168,40,1,8000,0.9999991900712493,0.9999860630930387,6.852707284953382e-05,6.852707284953382e-05,0.0001118449268883355,8.910907924209104e-05,6.852707284953382e-05,6.852707284953382e-05
32,60,1.3224534773163732,1.3224534600578157,0.00010183920722740491,0.00010149117596159966,40,1,8000,0.9999758910097566,0.02133367587909074,9.525696224100808e-05,9.525696224100808e-05,0.0003177715361847179,0.00024340809348391554,9.525696224100808e-05,9.525696224100808e-05
33,20,0.027888451534362153,0.02738470620913378,1.2632330435422403,1.2683428388624116,20,10,8000,0.9998233125301957,0.8680774140701533,0.9375099991876129,0.9375099991876129,0.026298545267376478,0.02298124440027467,0.6358995412698059,0.6358995412698059
34,22,0.015957515433107312,0.015131414283740423,1.2604587027064387,1.2601760702006615,20,10,8000,0.9979567406793384,0.5137926508773795,0.8923475190435063,0.8923475190435063,0.015948354388121245,0.015022285197692631,0.7618279485640488,0.7618279485640488
35,24,0.01919542513662781,0.018834822914988947,1.3052438118597058,1.3097086596415284,20,10,8000,0.9971521270665716,0.6298338147814377,0.9260873744921956,0.9260873744921956,0.01918281477947516,0.016502798164603733,0.7536442413994646,0.7536442413994646
36,26,0.021822653593792093,0.019745684923606916,1.3250690293229712,1.3261483910451937,20,10,8000,0.9955731062920792,0.5218234686677876,0.9607425998563882,0.9607425998563882,0.021815435202280516,0.019708845972826596,0.7719910484496729,0.7719910484496729
37,28,0.01578802425745647,0.09572666458918666,1.290578273895073,1.263747493156111,20,10,8000,0.9959422203123316,0.6141544606234101,0.9138549779027796,0.9138549779027796,0.015772486214217323,0.013574569064965857,0.7201112267461856,0.7201112267461856
38,30,0.022331876546099645,0.02399854431929722,1.2129166635069237,1.213453638078022,20,10,8000,0.9904849669108772,0.36310889789955103,0.9486140433556135,0.9486140433556135,0.022308813496964987,0.02035199351996283,0.7658755949945898,0.7658755949945898
39,32,0.03781254317191801,0.16718030195979364,1.2344569121488744,1.200328636680039,20,10,8000,0.9958205693740491,0.3213735546083024,0.8958011682728464,0.8958011682728464,0.026255980260400383,0.023999355763138545,0.6422460562049654,0.6422460562049654
40,34,0.01574642093903337,0.01562094531295484,1.1843920892782809,1.1834628632756121,20,10,8000,0.999373002653015,0.4376218166234378,0.8883071182415425,0.8883071182415425,0.015737775375567885,0.014683817974813645,0.8050197156943987,0.8050197156943987
41,36,0.02608912868769775,0.023417439771463183,1.1800949760073458,1.181693968432823,20,10,8000,0.9924263319974536,0.36762669855365876,0.9537220815975204,0.9537220815975204,0.02530931589235766,0.02010930451080276,0.6903005686275653,0.6903005686275653
42,38,0.04362217562353457,0.03885251284434629,1.1276577831652466,1.1266604131585323,20,10,8000,0.9966314880746874,0.5551196971591101,0.9532308388421333,0.9532308388421333,0.022181189023567544,0.01790667322053923,0.7955492087506724,0.7955492087506724
43,40,0.01693952919327653,0.0774364813409275,1.1990195770024157,1.1770691498491856,20,10,8000,0.9987749228920318,0.5540691488503249,0.9405708891680507,0.9405708891680507,0.016850464474199467,0.01543890393110135,0.5656021077975874,0.5656021077975874
