,d,error_A_m,error_A_m_1,error_V_m,error_V_m_1,m,m_1,m_x,max_dist_A_m,max_dist_A_m_1,max_dist_V_m,max_dist_V_m_1,min_dist_A_m,min_dist_A_m_1,min_dist_V_m,min_dist_V_m_1
16,18,0.018808620663038525,0.17103096192590717,1.1842696764843301,1.0386278126197694,8,2,10000,0.9993933685834079,0.059740237037318886,0.6268845730708708,0.6268845730708708,0.006168953033960277,0.0017331952105593467,0.4617087474734512,0.4617087474734512
17,28,0.012999352916660765,0.00505959575843578,1.1423615212927896,1.1488124075079353,8,2,10000,0.9996241692193802,0.25762414652171906,0.5994752656200305,0.5994752656200305,0.009424085170179248,0.003759311172374257,0.3114739119725758,0.3114739119725758
18,4,0.017442183488231875,0.047289883273528746,0.5060919201581273,0.475523431188208,4,4,10000,0.6489276668792646,0.04433376461762069,0.9152519889614718,0.9152519889614718,0.017316266579068654,0.0025284955260551248,0.3874049535782822,0.3874049535782822
19,14,0.020485209070415553,0.04129798269825128,1.0721152210653178,1.0556544589130425,4,4,10000,0.7652937439175761,0.1234416282268095,0.9641680031080005,0.9641680031080005,0.020463407140928588,0.0019241062558027224,0.5140058729646804,0.5140058729646804
20,24,0.015134248620482262,0.4707036206959306,1.0441030032474259,0.9490787282611656,4,4,10000,0.7671924344544543,0.018112452494283674,0.830476543250059,0.830476543250059,0.014242709730380892,0.00043359205202061634,0.48050797658703515,0.48050797658703515
21,8,0.03933290344521054,0.05141856764413605,1.1373959781271665,1.1618443548090356,8,4,10000,0.9988696110984114,0.14315667782318423,0.7760032048647997,0.7760032048647997,0.024238987982628087,0.013818968065623018,0.5947930430606251,0.5947930430606251
22,18,0.03738737244373815,0.0358525783120778,1.0132474106118836,1.017362626876537,8,4,10000,0.8285793659895442,0.16534481572533605,0.8256647252956819,0.8256647252956819,0.02495204217316708,0.021387571667657916,0.46709391024162794,0.46709391024162794
23,28,0.025617409830622797,0.21059069108153908,1.175641380950629,1.0740431270433195,8,4,10000,0.9680292548724918,0.09122971676698047,0.7628329459786751,0.7628329459786751,0.01740209761813384,0.013994501732485601,0.6333198620104927,0.6333198620104927
24,16,0.006973128573039345,0.005091585892173177,1.2874887383177531,1.288529555824973,16,4,10000,0.8816435935465875,0.5096692864915491,0.7399996361391945,0.7399996361391945,0.00686984829055472,0.00496941927300034,0.6075332438330988,0.6075332438330988
25,26,0.04230988669609565,0.08667722221987292,0.9654649556469389,0.9295381354410854,16,4,10000,0.9998882874017081,0.17056641572244594,0.8489618697781065,0.8489618697781065,0.018646503547497296,0.01598982388299694,0.559840141208076,0.559840141208076
